"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","result_label","result_score","tr001_modele_dpe_type_libelle","tr002_type_batiment_description"
"Méthode Facture",,"2013-05-03",404,"F",13,"C",1947,63,49.570602,-1.838831,"52 Boulevard Ferdinand Deveaud 50340 Siouville-Hague",0.87,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-16",373.27,"F",19.32,"C",1982,51,49.245009,4.01888,"93 Rue de Courlancy 51100 Reims",0.75,"Location","Logement"
"Méthode Facture",,"2013-05-31",572,"G",133,"G",1947,98,48.638943,4.925008999999999,"6 Avenue Roger Salengro 52100 Saint-Dizier",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-14",302,"E",15,"C",1978,65.28,47.842641,-0.819366,"5 Rue de la Bonneau 53200 Prée-d'Anjou",0.74,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-16",186,"D",43,"E",1947,75,48.701575,6.191774,"7 bis Rue Mac Mahon 54000 Nancy",0.96,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-23",226.88,"D",39.63,"D",1977,646.01,49.145489000000005,5.393969,"6 Avenue du Président Kennedy 55100 Verdun",0.82,"Bâtiment public","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"3CL - DPE","V2012","2013-05-03",220.51,"D",11.89,"C",2003,148,47.656145,-2.787825,"22 Rue Charles Armand de Wolbock 56000 Vannes",0.72,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-13",332.26,"F",77.75,"F",1957,228.15,49.356874,6.152615,"32 Rue Alexandre Dreux 57100 Thionville",0.81,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-23",151.46,"D",4.02,"A",1948,360,47.488021,3.07605,"Le Lieu Francis 58310 Bitry",0.64,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",129,"C",30,"D",2013,107.37,50.376335,3.360531,"68 Rue Roger Salengro 59171 Hélesmes",0.94,"Location","Maison Individuelle"
"3CL - DPE","V2012","2013-05-07",324.24,"E",56.9,"F",1974,142,49.167629999999996,2.377944,"11e Avenue 60260 Lamorlaye",0.55,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-13",331.92,"F",58.17,"F",1974,80,48.722324,-0.12726800000000002,"36 Rue du Bourg Caillet 61150 Écouché-les-Vallées",0.63,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-06",0,"A",0,"A",1900,80,50.494968,2.8672590000000002,"50 Rue Victor Hugo 62410 Wingles",0.79,"Location","Maison Individuelle"
"Méthode Facture",,"2013-05-24",176,"D",52,"E",1947,41.8,45.759974,3.098659,"38 Rue Corot 63000 Clermont-Ferrand",0.74,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",140,"C",5,"A",2006,39.07,43.479564,-1.449732,"33 Allée Docteur Robert Lafon 64100 Bayonne",0.56,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-11",294,"E",68,"F",1948,85.74,43.234164,0.0578,"32 bis Boulevard Henri IV 65000 Tarbes",0.96,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-25",338.41,"F",7.15,"B",1900,25.5,42.617622999999995,2.498374,"Carriera Del Silvano 66320 Espira-de-Conflent",0.6,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-13",183,"D",50,"E",2006,91.86,48.640146,7.606635000000001,"4 Rue du Village 67370 Wiwersheim",0.77,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",377,"F",88,"G",1948,118,47.781923,7.343400999999999,"15 Rue du Fossé 68110 Illzach",0.95,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-25",195,"D",45,"E",1947,70.73,45.733445,4.886564,"42 Rue Professeur Ranvier 69008 Lyon",0.96,"Vente","Logement"
"Méthode Facture",,"2013-06-03",181,"D",54,"E",1947,137,47.41621,5.995888,"15 Rue des Chenevières 70190 Montarlot-lès-Rioz",0.93,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",304,"E",71,"F",1975,79,46.479673999999996,3.9912970000000003,"4 Rue Niépce 71160 Digoin",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-26",224,"D",12,"C",1983,163,47.973639,0.10069,"14 Impasse du Coteau 72700 Saint-Georges-du-Bois",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-20",386,"F",12,"C",1978,39,45.571758,6.779399000000001,"Tc des Villards 73700 Bourg-Saint-Maurice",0.7,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",147,"C",34,"D",2006,115,45.837517,6.176529,"470 Rte de la Vieille Eglise 74410 Saint-Jorioz",0.61,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-29",0,"N",0,"N",1947,10.27,48.877144,2.290569,"7 Rue du Colonel Moll 75017 Paris",0.96,"Vente","Logement"
"3CL - DPE","V2012","2013-05-07",278.03,"E",16.8,"C",2000,125,49.764214,0.896209,"38 Rue du Bourg 76730 Gonnetot",0.76,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-03",266.13,"E",7.16,"B",1900,72,48.975435,2.8385580000000004,"14 Grande Rue 77124 Chauconin-Neufmontiers",0.81,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-02",220.78,"D",60.49,"F",2000,48.31,48.765695,2.071495,"11 Mail Pierre Teilhard de Chardin 78280 Guyancourt",0.73,"Vente","Logement"
"3CL - DPE","V2012","2013-04-30",374.16,"F",28.57,"D",1970,126.75,46.768782,-0.432296,"12 Le Limousin 79300 Boismé",0.55,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-19",200,"D",6,"B",1,144.55,49.871488,2.517391,"Rue de Corbie 80800 Villers-Bretonneux",0.64,"Neuf","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-23",228,"D",12,"C",2006,61.47,43.616557,2.1922080000000004,"170 Avenue de Lavaur 81100 Castres",0.68,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-29",140,"C",19,"C",1947,120,44.105619,1.088498,"7 Rue Hippolyte Détours 82200 Moissac",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",163,"D",7,"B",1989,70.55,43.422606,6.749598,"34 Place Dei Favouio 83600 Fréjus",0.53,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",185,"D",6,"B",1948,66.4,43.879689,5.413227,"92 Rue des Cerisiers 84400 Apt",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",397,"F",93,"G",1948,64,46.680118,-1.443843,"Place des Pâquerettes 85000 La Roche-sur-Yon",0.48,"Vente","Logement"
"3CL - DPE","V2012","2013-04-30",227.94,"D",26.67,"D",1971,85,46.591431,0.36333000000000004,"10 Rue Alexandre Dumas 86000 Poitiers",0.69,"Vente","Logement"
"Méthode Facture",,"2013-05-11",0,"N",0,"N",1947,60,46.081895,1.424477,"Rue de Galerne 87370 Bersac-sur-Rivalier",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-16",258.35,"E",8.21,"B",1950,45,48.025837,6.820059,"18 Chemin des Ponts 88120 Rochesson",0.78,"Location","Logement"
"FACTURE - DPE","V2012","2013-05-28",351.98,"F",11.46,"C",1948,134,47.618134999999995,3.198081,"7 Place du Marché 89520 Saint-Sauveur-en-Puisaye",0.82,"Location","Logement"
"3CL - DPE","V2012","2013-05-15",249.95,"E",58.48,"F",1858,296,49.17197,-0.400118,"2 Rue Courte Delle 14000 Caen",0.4,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",197,"D",11,"C",2011,166.15,48.615037,2.2625580000000003,"3 bis Place des Ffi 91310 Leuville-sur-Orge",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",294,"E",16,"C",1989,35,48.836046,2.2499990000000003,"56 Rue du Chemin Vert 92100 Boulogne-Billancourt",0.96,"Location","Logement"
"Méthode Facture",,"2013-05-30",191,"D",44,"E",1947,120,48.871406,2.447229,"68 Rue des Hanots 93100 Montreuil",0.96,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",272,"E",13,"C",2006,64,48.774101,2.41738,"26 Rue Frédéric Joliot Curie 94600 Choisy-le-Roi",0.78,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",213,"D",49,"E",1975,112,49.021639,2.2191419999999997,"76 Allee des Renardeaux 95150 Taverny",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-06",198.6,"D",59.58,"F",1992,240,46.235147,5.975837,"280 Rue des Marterets 01710 Thoiry",0.78,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",236,"E",11,"C",2006,64,49.505533,3.4514120000000004,"1 Rue Carnot 02320 Anizy-le-Grand",0.66,"Location","Logement"
"Méthode Facture",,"2013-05-21",0,"N",0,"N",1947,61,46.297998,3.238029,"6 Impasse de la Chenal 03500 Montord",0.93,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-03",409,"F",31,"D",1978,63,43.77798,6.0831230000000005,"Route d'Allemagne (Montagnac) 04500 Montagnac-Montpezat",0.76,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-27",107,"C",25,"D",2001,91,44.546428999999996,6.067035,"Rue des Hirondelles 05000 Gap",0.47,"Vente","Logement"
"3CL - DPE","V2012","2013-04-22",198.48,"D",46.44,"E",1965,74.68,43.695731,7.260097,"55 Rue de France 06000 Nice",0.78,"Location","Logement"
"FACTURE - DPE","V2012","2013-05-12",167.56,"D",50.27,"E",1948,119,45.169078999999996,4.76185,"Chemin de la Souspeyre 07370 Eclassan",0.5,"Location","Maison Individuelle"
"Méthode Facture",,"2013-05-28",342,"F",80,"F",1947,78.4,49.853984000000004,4.731561,"13 Rue de l'Echelle 08120 Bogny-sur-Meuse",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-28",286,"E",16,"C",1983,97,43.272323,1.346953,"Impasse du Biac 09210 Lézat-sur-Lèze",0.79,"Location","Maison Individuelle"
"3CL - DPE","V2012","2013-05-31",0,"N",0,"N",1800,53,48.299365,4.078431,"13 Rue de la Cite 10000 Troyes",0.77,"Vente","Logement"
"3CL - DPE","V2012","2013-05-06",268.32,"E",13.16,"C",1992,34.23,42.856286,3.0402299999999998,"Résidence Maisons de la Plage 4 11370 Leucate",0.62,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-04",344,"F",90,"G",1948,143,44.191269,2.381586,"Le Lac Blanc 12800 Camjac",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-01",355,"F",19,"C",2006,68.82,43.325804,5.374358999999999,"114 Boulevard Danielle Casanova 13014 Marseille",0.68,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-26",222,"D",51,"E",1948,66.29,49.36718,0.079027,"7 Rue de la Plage 14360 Trouville-sur-Mer",0.57,"Location","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-06-11",324.21,"E",18.91,"C",1980,120.6,44.907598,2.4465220000000003,"10 Rue Marie Marvingt 15000 Aurillac",0.81,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-07",127.04,"C",22.02,"D",2000,153,46.007738,0.236896,"17 Route des Côteaux 16700 Barro",0.76,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-09",0,"N",0,"N",1947,49.5,46.221546999999994,-1.436582,"3 Rue du Passage 17111 Loix",0.83,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-15",0,"N",0,"N",1946,39.11,47.094883,2.403998,"26 Avenue du Général de Gaulle 18000 Bourges",0.78,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-05",248,"E",12,"C",2001,54,45.08854,1.943514,"15 Rue des Troubadours 19400 Argentat-sur-Dordogne",0.72,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-18",163,"D",38,"E",2005,64,47.351292,5.04751,"4 Rue Pierre Joseph Magnin 21000 Dijon",0.89,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",163,"D",33,"D",1978,108,48.24131,-3.259455,"3 Lotissement de Park Kloz 22110 Plouguernével",0.64,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-06-10",0,"N",0,"N",1900,45.32,46.077658,1.761046,"1 Le Bourg 23210 Azat-Châtenet",0.57,"Location","Logement"
"FACTURE - DPE","V2012","2013-05-15",33.96,"N",1.11,"N",1948,130,45.257835,0.806501,"La Tuillere 24750 Cornille",0.49,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-20",125,"C",5,"A",1989,244.38,47.441355,6.7801160000000005,"23 Rue du Tertre 25700 Mathay",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",209,"D",9,"B",1989,49.4,44.352692,4.777918,"2 Rue Genton de Barsac 26130 Saint-Paul-Trois-Châteaux",0.9,"Location","Logement"
"3CL - DPE","V2012","2013-05-06",318.68,"E",17.94,"C",1982,97.3,48.774722,1.30273,"Résidence le Clos des Rouillères 27650 Mesnil-sur-l'Estrée",0.65,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-14",271.39,"E",12.71,"C",1982,90,48.19096,1.576075,"6 Rue de Bel Air 28800 Sancheville",0.86,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-11",367.75,"F",22.88,"D",1974,168.42,48.201112,-4.284256,"Route de Pentrez 29550 Saint-Nic",0.48,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-24",163,"D",6,"B",2006,71.58,,,,,"Vente","Logement"
"3CL - DPE","V2012","2013-06-13",166.41,"D",8.13,"B",1988,161.3,,,,,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-13",66.17,"B",3.32,"A",2010,148.84,43.846631,4.343275,"102 a Impasse de Catalogne 30900 Nîmes",0.81,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-23",219,"D",11,"C",1978,94,43.510544,1.555884,"4 Rue des Eglantines 31750 Escalquens",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-31",188.62,"D",3.72,"A",1850,137.5,43.490057,0.9329040000000001,"21 Rue du Marcadieu 32130 Samatan",0.79,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-23",181.47,"D",42.46,"E",1900,111.5,44.652190999999995,-0.46915200000000007,"10 Place de Jeansotte 33650 Saint-Selve",0.8,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-23",166.41,"D",7.02,"B",1992,70.67,43.647416,3.795975,"Rue de la Riviere 34790 Grabels",0.56,"Location","Logement"
"Méthode Facture",,"2013-05-03",191,"D",44,"E",1947,94.22,48.101414,-1.678766,"Rue Marçais-martin 35000 Rennes",0.64,"Location","Logement"
"3CL - DPE","V2012","2013-05-22",227.79,"D",3.14,"A",1987,99.72,47.08248,1.350727,"1 ter Allee du Buissonnet 36240 Écueillé",0.62,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-15",522.02,"G",9.74,"B",1948,45.3,47.288024,0.349063,"14 Rue des 100 d'Hommes 37130 Bréhémont",0.53,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-09",258,"E",60,"F",1973,108.73,45.628997,5.11373,"11 Rue des Chataigniers 38070 Saint-Quentin-Fallavier",0.84,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-05-23",289.11,"E",72.77,"F",1950,239.1,47.165585,5.5651720000000005,"Rue Charles Blanc 39700 Amange",0.76,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-13",269.38,"E",13.82,"C",1989,64.9,43.708364,-1.057509,"7 Impasse du Tuc-d'Eauze 40100 Dax",0.73,"Vente","Logement"
"3CL - DPE","V2012","2013-05-03",478.27,"G",15.57,"C",1900,129.5,47.493315,1.150347,"55 Rue de Meuves 41150 Veuzain-sur-Loire",0.61,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-16",148.57,"C",34.77,"D",1945,40,46.036623,4.055283,"37 Rue Pasteur 42300 Roanne",0.61,"Vente","Logement"
"3CL - DPE","V2012","2013-04-17",75.53,"B",20.69,"C",1947,86.68,45.315474,3.342433,"Le Bourg 43100 Beaumont",0.69,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",213,"D",10,"B",1948,35,47.28329,-2.2055599999999997,"15 Rue de la Dermurie 44600 Saint-Nazaire",0.71,"Location","Logement"
"Méthode Facture",,"2013-05-11",193,"D",5,"A",1947,140,47.804054,2.277319,"2 Rue de la Loire 45600 Guilly",0.94,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-06-10",0,"N",0,"N",1947,130,44.937819,1.606646,"Rue du Barri de Brive 46600 Martel",0.84,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",277,"E",66,"F",1975,83.93,44.433609999999994,0.112206,"Au Bourg 47250 Samazan",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-18",400,"F",22,"D",1989,63.54,44.301538,3.317385,"La Malène",0.72,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",241,"E",56,"F",1948,94,47.054320000000004,-0.8692049999999999,"16 Rue du Docteur Langeron 49300 Cholet",0.96,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-03",404,"F",13,"C",1947,63,49.570602,-1.838831,"52 Boulevard Ferdinand Deveaud 50340 Siouville-Hague",0.87,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-16",277.24,"E",14.17,"C",1974,62,49.231859,4.025366,"22 Rue Machet 51100 Reims",0.64,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-14",0,"N",0,"N",1900,47.56,48.477219,4.9633080000000005,"Ruelle de l'Eglise 52130 Montreuil-sur-Blaise",0.74,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-15",264.56,"E",13.87,"C",1974,87.8,48.302513,-0.620159,"16 Place Juhel 53100 Mayenne",0.77,"Location","Logement"
"Méthode Facture",,"2013-05-16",164,"D",38,"E",1947,103,48.755428,6.1321639999999995,"63 Rue du Genéral Langlois 54390 Frouard",0.74,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-23",226.88,"D",39.63,"D",1977,1147.97,49.145489000000005,5.393969,"6 Avenue du Président Kennedy 55100 Verdun",0.82,"Bâtiment public","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",309,"E",18,"C",1981,170,47.515921999999996,-2.672853,"Rte de Penvins 56370 Sarzeau",0.57,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-13",319.42,"E",95.82,"G",1930,141,49.210802,6.681877,"Siege 1 la Houve 57150 Creutzwald",0.79,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-24",122,"C",4,"A",1974,129.21,47.476651000000004,3.315958,"28 Route de Corvol l'Orgueilleux 58410 Entrains-sur-Nohain",0.59,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",221,"D",51,"E",1948,97,50.694115999999994,2.8957490000000004,"23 Rue Denis Cordonnier 59280 Armentières",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-11",157,"D",36,"E",1999,88.95,49.129426,2.5338700000000003,"1044 Rue de Paris 60520 La Chapelle-en-Serval",0.94,"Location","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-13",83.17,"N",2.71,"N",1948,81,48.748121000000005,-0.023469999999999998,"11 Rue Magny 61200 Argentan",0.76,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-05-06",0,"A",0,"A",1900,80,50.494298,2.864042,"128 Rue Victor Hugo 62410 Wingles",0.79,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-24",361,"F",21,"D",2006,60.4,45.830044,3.099617,"3 Cours des Perches 63118 Cébazat",0.95,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",149,"C",34,"D",1980,136.8,43.310928999999994,-0.336309,"19 Rue Guillaumet 64000 Pau",0.96,"Location","Maison Individuelle"
"Méthode Facture",,"2013-05-13",237,"E",7,"B",1947,73.41,43.351206,0.224439,"Place d'Espagne 65140 Saint-Sever-de-Rustan",0.93,"Location","Logement"
"3CL - DPE","V2012","2013-04-26",238.75,"E",71.62,"F",1900,105.15,42.73899,2.611127,"17 Route de Picaubeil 66720 Cassagnes",0.78,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",158,"D",37,"E",2006,81,48.427637,7.7008,"31 b Rue de Saint Quentin 67150 Erstein",0.7,"Vente","Logement"
"3CL - DPE","V2012","2013-05-16",218.84,"D",10.99,"B",1995,86.35,48.079256,7.3522229999999995,"28 Rue Stanislas 68000 Colmar",0.78,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-25",168,"D",38,"E",1989,165,45.701989000000005,5.032430000000001,"24 Rue du Rossignol 69720 Saint-Bonnet-de-Mure",0.95,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-06",331,"F",19,"C",1948,65.85,47.886778,6.405704,"Rue de la Gare 70220 Fougerolles-Saint-Valbert",0.57,"Location","Logement"
"Méthode Facture",,"2013-05-03",295,"E",65,"F",1947,87,46.607203000000005,4.202134,"Le Bois Simon 71420 Perrecy-les-Forges",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-27",622,"G",166,"G",1948,46,47.751086,0.27722199999999997,"57 Rue Eugène Termeau 72360 Mayet",0.86,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-17",211.52,"D",9.97,"B",1992,110.4,45.730669,5.882025,"72 Che du Biollay 73100 Brison-Saint-Innocent",0.73,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",226,"D",30,"D",1983,150,45.831720000000004,6.172543,"Rte du Berlet 74410 Saint-Jorioz",0.56,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-30",239.11,"E",7.78,"B",1895,118.15,48.878136,2.3125430000000002,"24 Rue de Téhéran 75008 Paris",0.83,"Vente","Logement"
"FACTURE - DPE","V2012","2013-05-07",222.2,"D",66.66,"F",1977,101.35,49.457438,1.088922,"15 Rue Michel 76130 Mont-Saint-Aignan",0.8,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-05-03",245.33,"E",10.98,"B",2003,44.23,48.953647,2.8759080000000004,"36 Rue du Maréchal de Luxembourg 77100 Meaux",0.75,"Vente","Logement"
"3CL - DPE","V2012","2013-05-02",365.01,"F",85.41,"G",1974,64.89,48.941559999999996,2.169653,"80 Rue du Temple 78500 Sartrouville",0.81,"Vente","Logement"
"Méthode Facture",,"2013-04-30",0,"N",0,"N",1947,74.14,46.411021000000005,-0.205139,"65 Rue Chalon 79400 Saint-Maixent-l'École",0.95,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-19",197,"D",6,"B",1,100.56,49.871488,2.517391,"Rue de Corbie 80800 Villers-Bretonneux",0.95,"Neuf","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-22",327,"E",64,"F",1948,97.42,43.610524,2.2629040000000002,"79 Avenue du Sidobre 81100 Castres",0.96,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-24",367.63,"F",110.29,"G",1965,105,44.029488,1.354517,"605 Avenue de Falguières 82000 Montauban",0.68,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-22",188.92,"C",6.15,"B",2009,0,43.137137,5.982343,"Rue Joseph Farnous 83160 La Valette-du-Var",0.69,"Vente","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation"
"3CL - DPE","V2012","2013-05-09",486.64,"G",13.6,"C",1930,101,,,,,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-11",0,"N",0,"N",1947,80,46.470984,-0.80443,"30 Rue du Doyenne 85200 Fontenay-le-Comte",0.95,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-06",272,"E",28,"D",1947,111.72,46.690304,0.37349099999999996,"14 Rue de Parigny 86130 Jaunay-Marigny",0.7,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-13",0,"N",0,"N",1945,84.5,45.87618,1.447975,"Lieu Dit la Maziere 87400 Royères",0.68,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-18",168.17,"D",39.35,"E",1900,184,48.297473,6.133573,"85 Rue Chanzy 88500 Mirecourt",0.71,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-28",310,"E",16,"C",1989,83,47.62275,3.862714,"9 Rue de Mélines 89440 Joux-la-Ville",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-23",290,"E",55,"E",1965,130.15,47.645487,6.930578999999999,"42 Rue des Magnolias 90160 Bessoncourt",0.8,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",329,"E",18,"C",1986,40,48.676967,2.297756,"37 Rue Normande 91160 Ballainvilliers",0.95,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",192,"D",9,"B",1978,86,48.875015999999995,2.1810869999999998,"25 Rue du Château 92500 Rueil-Malmaison",0.96,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",307,"E",13,"C",2001,26.9,48.882048,2.438632,"158 Av du Docteur David Rosenfeld 93230 Romainville",0.73,"Location","Logement"
"FACTURE - DPE","V2012","2013-05-09",130.52,"C",39.15,"E",1974,77,48.813513,2.372218,"25 Rue Pierre et Marie Curie 94200 Ivry-sur-Seine",0.84,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",198,"D",10,"B",1989,53,49.028182,2.374282,"1 Rue Henri Matisse 95440 Écouen",0.95,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",291,"E",5,"A",1990,91.36,46.029758,5.295714,"383 Route des Tuileries 01160 Priay",0.92,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-16",410,"F",20,"C",2006,17.5,49.505533,3.4514120000000004,"1 Rue Carnot 02320 Anizy-le-Grand",0.66,"Location","Logement"
"Méthode Facture",,"2013-05-21",0,"N",0,"N",1947,71,46.267188,3.224316,"Impasse la Cure 03140 Chareil-Cintrat",0.73,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-06-03",685,"G",42,"E",1982,36.96,14.670876000000002,-61.034873,"Habitation Belle Etoile 97212 Saint-Joseph",0.31,"Vente","Logement"
"Méthode Facture",,"2013-05-28",348,"F",81,"G",1947,85,44.567929,6.082939,"3 Rue Gaston Espitallier 05000 Gap",0.76,"Vente","Logement"
